amp,ROI,position,subject
1.44959748324245,8,4,8
0,0,0,0
0,0,0,0
0,0,0,0
0.506317934559726,8,4,9
0,0,0,0
0,0,0,0
0,0,0,0
0.820781842846933,9,4,1
0,0,0,0
0,0,0,0
0,0,0,0
1.43403306908398,9,4,2
0,0,0,0
0,0,0,0
0,0,0,0
0.278142702803929,9,4,3
0,0,0,0
0,0,0,0
0,0,0,0
0.999546305807844,9,4,4
0,0,0,0
0,0,0,0
0,0,0,0
0.697067990845023,9,4,5
0,0,0,0
0,0,0,0
0,0,0,0
0.534562519588767,9,4,6
0,0,0,0
0,0,0,0
0,0,0,0
1.13957355510782,9,4,7
0,0,0,0
0,0,0,0
0,0,0,0
1.32793258899538,9,4,8
0,0,0,0
0,0,0,0
0,0,0,0
0.496413921761145,9,4,9
0,0,0,0
0,0,0,0
0,0,0,0
0.310968072137621,1,5,1
0,0,0,0
0,0,0,0
0,0,0,0
0.233547662331851,1,5,2
0,0,0,0
0,0,0,0
0,0,0,0
0.391977289033465,1,5,3
0,0,0,0
0,0,0,0
0,0,0,0
0.69474896820225,1,5,4
0,0,0,0
0,0,0,0
0,0,0,0
0.397011566620725,1,5,5
0,0,0,0
0,0,0,0
0,0,0,0
0.343348031977709,1,5,6
0,0,0,0
0,0,0,0
0,0,0,0
0.825461740114177,1,5,7
0,0,0,0
0,0,0,0
0,0,0,0
1.29343191168524,1,5,8
0,0,0,0
0,0,0,0
0,0,0,0
0.47724230261014,1,5,9
0,0,0,0
0,0,0,0
0,0,0,0
0.264669702262412,2,5,1
0,0,0,0
0,0,0,0
0,0,0,0
0.251715759875971,2,5,2
0,0,0,0
0,0,0,0
0,0,0,0
0.557174331744513,2,5,3
0,0,0,0
0,0,0,0
0,0,0,0
0.659324292784263,2,5,4
0,0,0,0
0,0,0,0
0,0,0,0
0.200681344158183,2,5,5
0,0,0,0
0,0,0,0
0,0,0,0
0.423851814933013,2,5,6
0,0,0,0
0,0,0,0
0,0,0,0
0.518799095379153,2,5,7
0,0,0,0
0,0,0,0
0,0,0,0
0.70236872630442,2,5,8
0,0,0,0
0,0,0,0
0,0,0,0
0.190637447206288,2,5,9
0,0,0,0
0,0,0,0
0,0,0,0
0.40018899245361,3,5,1
0,0,0,0
0,0,0,0
0,0,0,0
0.301165283671795,3,5,2
0,0,0,0
0,0,0,0
0,0,0,0
0.651544019475602,3,5,3
0,0,0,0
0,0,0,0
0,0,0,0
0.670550969935031,3,5,4
0,0,0,0
0,0,0,0
0,0,0,0
0.299521098858433,3,5,5
0,0,0,0
0,0,0,0
0,0,0,0
0.354968798282132,3,5,6
0,0,0,0
0,0,0,0
0,0,0,0
0.474026778822348,3,5,7
0,0,0,0
0,0,0,0
0,0,0,0
0.549283788739578,3,5,8
0,0,0,0
0,0,0,0
0,0,0,0
0.321280614295606,3,5,9
0,0,0,0
0,0,0,0
0,0,0,0
0.390719007224648,4,5,1
0,0,0,0
0,0,0,0
0,0,0,0
0.347452469969753,4,5,2
0,0,0,0
0,0,0,0
0,0,0,0
0.801950392580615,4,5,3
0,0,0,0
